Epoch 3 Batch 320, Loss: 0.2857900559902191
Epoch 3 Batch 330, Loss: 0.14329852163791656
Epoch 3 Batch 340, Loss: 0.023754578083753586
Epoch 3 Batch 350, Loss: 0.31049132347106934
Epoch 3 Batch 360, Loss: 0.07562428712844849
Epoch 3 Batch 370, Loss: 0.14594902098178864
Epoch 3 Batch 380, Loss: 0.05337580293416977
Epoch 3 Batch 390, Loss: 0.20673450827598572
Epoch 3 Batch 400, Loss: 0.09374463558197021
Epoch 3 Batch 410, Loss: 0.2057509869337082
Epoch 3 Batch 420, Loss: 0.0701603889465332
Epoch 3 Batch 430, Loss: 0.08405563235282898
Epoch 3 Batch 440, Loss: 0.2891315221786499
Epoch 3 Batch 450, Loss: 0.2023945450782776
Epoch 3 Batch 460, Loss: 0.39736059308052063
Epoch 3 Batch 470, Loss: 0.04312270134687424
Epoch 3 Batch 480, Loss: 0.022344540804624557
Epoch 3 Batch 490, Loss: 0.11566285043954849
Epoch 3 Batch 500, Loss: 0.00972294807434082
Epoch 3 Batch 510, Loss: 0.07350657135248184
Epoch 3 Batch 520, Loss: 0.11653631925582886
Epoch 3 Batch 530, Loss: 0.022909708321094513
Epoch 3 Batch 540, Loss: 0.4197288751602173
Epoch 3 Batch 550, Loss: 0.06567421555519104
Epoch 3 Batch 560, Loss: 0.24292545020580292
Epoch 3 Batch 570, Loss: 0.40184637904167175
Epoch 3 Batch 580, Loss: 0.15441972017288208
Epoch 3 Batch 590, Loss: 0.03514710068702698
Epoch 3 Batch 600, Loss: 0.02100602351129055
Epoch 3 Batch 610, Loss: 0.0603998638689518
Epoch 3 Batch 620, Loss: 0.023705806583166122
Epoch 3 Batch 630, Loss: 0.1820107400417328
Epoch 3 Batch 640, Loss: 0.06067293882369995
Epoch 3 Batch 650, Loss: 0.0482933446764946
Epoch 3 Batch 660, Loss: 0.05386677384376526
Epoch 3 Batch 670, Loss: 0.11165298521518707
Epoch 3 Batch 680, Loss: 0.0644766241312027
Epoch 3 Batch 690, Loss: 0.1116667240858078
Epoch 3 Batch 700, Loss: 0.15309347212314606
Epoch 3 Batch 710, Loss: 0.025416772812604904
Epoch 3 Batch 720, Loss: 0.0738297551870346
Epoch 3 Batch 730, Loss: 0.07233116030693054
Epoch 3 Batch 740, Loss: 0.0565689317882061
Epoch 3 Batch 750, Loss: 0.0679277628660202
Epoch 3 Batch 760, Loss: 0.04766225814819336
Epoch 3 Batch 770, Loss: 0.24529114365577698
Epoch 3 Batch 780, Loss: 0.058486271649599075
Epoch 3 Batch 790, Loss: 0.17390474677085876
Epoch 3 Batch 800, Loss: 0.063889279961586
Epoch 3 Batch 810, Loss: 0.06293082237243652
Epoch 3 Batch 820, Loss: 0.07870067656040192
Epoch 3 Batch 830, Loss: 0.28388261795043945
Epoch 3 Batch 840, Loss: 0.17862331867218018
Epoch 3 Batch 850, Loss: 0.12343491613864899
Epoch 3 Batch 860, Loss: 0.04155200347304344
Epoch 3 Batch 870, Loss: 0.10507802665233612
Epoch 3 Batch 880, Loss: 0.02008918486535549
Epoch 3 Batch 890, Loss: 0.03639789670705795
Epoch 3 Batch 900, Loss: 0.012973083183169365
Epoch 3 Batch 910, Loss: 0.2700764834880829
Epoch 3 Batch 920, Loss: 0.13056349754333496
Epoch 3 Batch 930, Loss: 0.03432739898562431
Epoch 4 Batch 0, Loss: 0.06229642778635025
Epoch 4 Batch 10, Loss: 0.01497768983244896
Epoch 4 Batch 20, Loss: 0.03337746858596802
Epoch 4 Batch 30, Loss: 0.06084112823009491
Epoch 4 Batch 40, Loss: 0.027883009985089302
Epoch 4 Batch 50, Loss: 0.04611507058143616
Epoch 4 Batch 60, Loss: 0.17733055353164673
Epoch 4 Batch 70, Loss: 0.07450663298368454
Epoch 4 Batch 80, Loss: 0.14698545634746552
Epoch 4 Batch 90, Loss: 0.01995478942990303
Epoch 4 Batch 100, Loss: 0.09280774742364883
Epoch 4 Batch 110, Loss: 0.03708212077617645
Epoch 4 Batch 120, Loss: 0.0852060616016388
Epoch 4 Batch 130, Loss: 0.02403564378619194
Epoch 4 Batch 140, Loss: 0.05129105597734451
Epoch 4 Batch 150, Loss: 0.30955079197883606
Epoch 4 Batch 160, Loss: 0.12401177734136581
Epoch 4 Batch 170, Loss: 0.0077707115560770035
Epoch 4 Batch 180, Loss: 0.0782708078622818
Epoch 4 Batch 190, Loss: 0.013152907602488995
Epoch 4 Batch 200, Loss: 0.07473515719175339
Epoch 4 Batch 210, Loss: 0.0050849271938204765
Epoch 4 Batch 220, Loss: 0.009653639048337936
Epoch 4 Batch 230, Loss: 0.011337902396917343
Epoch 4 Batch 240, Loss: 0.01714666560292244
